dg_id,player_name,dk_salary,draftkings,total_rounds,sg_mean,2022,2021,2020,2019,2018
18103,"Bezuidenhout, Christiaan",6800,20000,2,-2.76,CUT,NA,NA,NA,NA
13872,"Bradley, Keegan",7700,7000,16,-0.5,T48,T60,CUT,T51,CUT
10423,"Brehm, Ryan",6100,250000,0,NA,NA,NA,NA,NA,NA
25363,"Buckley, Hayden",7000,20000,0,NA,NA,NA,NA,NA,NA
19483,"Burns, Sam",9100,2800,12,0.49,CUT,3,T23,CUT,NA
29304,"Byrd, Marcus",6000,250000,0,NA,NA,NA,NA,NA,NA
15466,"Cantlay, Patrick",9000,2800,20,1.62,T33,T15,T17,T15,T4
23542,"Champ, Cameron",6500,25000,10,-1.44,T67,NA,CUT,CUT,CUT
5665,"Cink, Stewart",6300,60000,2,-0.44,NA,CUT,NA,NA,NA
23604,"Clark, Wyndham",7800,8000,9,0.82,DQ,T8,T17,NA,NA
17576,"Conners, Corey",7600,10000,6,-0.8,CUT,CUT,CUT,NA,NA
14509,"Dahmen, Joel",7000,20000,14,-0.57,74,CUT,T5,CUT,CUT
17786,"Davis, Cameron",7000,13000,10,0.01,T48,T43,NA,CUT,NA
9771,"Day, Jason",8400,3500,2,-0.72,NA,NA,CUT,NA,NA
14181,"Detry, Thomas",7100,18000,0,NA,NA,NA,NA,NA,NA
4163,"Donald, Luke",6200,80000,4,0.83,NA,NA,NA,NA,T37
18187,"Duncan, Tyler",6000,150000,12,-1.6,NA,T38,T64,CUT,CUT
14577,"English, Harris",6800,25000,4,-1.15,NA,NA,NA,CUT,CUT
11676,"Finau, Tony",9500,1800,20,1.72,T33,2,T51,T15,T2
17646,"Fitzpatrick, Matthew",8300,4500,8,1.42,NA,T5,T30,NA,NA
12294,"Fleetwood, Tommy",7300,10000,8,1.05,NA,NA,NA,T28,T37
12965,"Fowler, Rickie",7900,6500,8,0.5,T55,T20,NA,NA,NA
11955,"Frittelli, Dylan",6500,40000,12,0.37,T26,CUT,CUT,T28,NA
24550,"Ghim, Doug",6100,60000,4,-1.85,CUT,CUT,NA,NA,NA
7399,"Glover, Lucas",6100,80000,4,-1.39,NA,CUT,NA,NA,CUT
15330,"Griffin, Lanto",6500,35000,12,0.58,T39,T26,T37,NA,NA
12808,"Grillo, Emiliano",6900,20000,8,-0.09,T21,CUT,CUT,NA,NA
14967,"Hadley, Chesson",6200,50000,2,-3.26,CUT,NA,NA,NA,NA
13965,"Hadwin, Adam",7500,13000,18,0.24,CUT,T26,T26,75,T6
11374,"Hahn, James",6700,25000,16,1.21,T61,T15,T13,NA,T14
19865,"Hardy, Nick",6900,30000,0,NA,NA,NA,NA,NA,NA
8825,"Harman, Brian",7500,11000,12,0.04,NA,T43,T47,T51,NA
14796,"Hatton, Tyrrell",8100,5000,2,-1.47,NA,NA,NA,CUT,NA
14578,"Henley, Russell",7400,9000,16,0.76,T33,T38,T17,T44,NA
17064,"Herbert, Lucas",7200,13000,0,NA,NA,NA,NA,NA,NA
21237,"Hickok, Kramer",6000,150000,6,-1.07,CUT,NA,NA,T64,NA
25157,"Hodges, Lee",6200,40000,4,0.4,T39,NA,NA,NA,NA
15575,"Hoge, Tom",7300,11000,12,-0.64,CUT,T52,NA,CUT,T53
7959,"Holmes, J.B.",6000,80000,16,0.74,NA,T57,T51,1,T60
17538,"Homa, Max",9700,2000,16,2.07,T10,1,T5,T37,NA
11276,"Horschel, Billy",7200,13000,2,-1.83,NA,NA,NA,NA,CUT
15470,"Hossler, Beau",7200,15000,10,0.51,T48,NA,NA,T15,CUT
18841,"Hovland, Viktor",8900,2800,8,2.5,T4,T5,NA,NA,NA
16333,"Hubbard, Mark",6200,50000,2,-0.44,NA,CUT,NA,NA,NA
15556,"Hughes, Mackenzie",6600,30000,8,-0.26,CUT,T32,NA,CUT,NA
17488,"Im, Sungjae",9400,2800,8,-0.22,T33,NA,CUT,CUT,NA
16394,"Jaeger, Stephan",6500,35000,6,-1.76,NA,NA,NA,T70,CUT
21688,"Kim, Seonghyeon",6700,30000,0,NA,NA,NA,NA,NA,NA
14609,"Kim, Si Woo",7900,10000,16,0.13,73,CUT,T37,3,CUT
24766,"Kim, Tom",8500,3500,0,NA,NA,NA,NA,NA,NA
13486,"Kim, Yeongsu",6100,100000,0,NA,NA,NA,NA,NA,NA
11328,"Kisner, Kevin",6600,30000,0,NA,NA,NA,NA,NA,NA
21891,"Kitayama, Kurt",7100,18000,0,NA,NA,NA,NA,NA,NA
13470,"Kizzire, Patton",6400,50000,4,-0.35,T61,NA,NA,NA,NA
13831,"Knox, Russell",6500,35000,8,0.04,T33,CUT,CUT,NA,NA
15852,"Kraft, Kelly",6100,150000,8,0.8,NA,NA,NA,T9,63
6169,"Kuchar, Matt",7100,15000,18,0.9,T67,CUT,T2,T28,T26
9586,"Laird, Martin",6600,35000,16,0.13,T39,CUT,T43,CUT,T9
10943,"Lashley, Nate",6300,40000,6,-1,NA,T57,CUT,NA,NA
11826,"Lee, Danny",6300,60000,14,-0.14,T21,T52,CUT,CUT,CUT
13497,"Lee, Kyounghoon",7400,13000,16,0.57,T26,66,T13,T25,NA
15980,"Lipsky, David",6500,40000,2,-1.26,CUT,NA,NA,NA,NA
7960,"List, Luke",6800,25000,16,0.75,CUT,CUT,T30,T15,T26
15473,"Long, Adam",6400,60000,10,-1.46,75,CUT,CUT,CUT,NA
17723,"Lower, Justin",6300,60000,0,NA,NA,NA,NA,NA,NA
13900,"Lowry, Shane",7400,9000,2,-1.83,NA,NA,NA,NA,CUT
14926,"Malnati, Peter",6300,60000,14,-0.16,T26,CUT,CUT,T44,CUT
13562,"Matsuyama, Hideki",8200,3500,14,1.2,T39,CUT,T5,T9,NA
19870,"McCarthy, Denny",7200,13000,8,-0.48,NA,CUT,T37,CUT,NA
23505,"McGreevy, Max",6000,250000,0,NA,NA,NA,NA,NA,NA
10091,"McIlroy, Rory",10500,1000,18,1.51,T10,CUT,T5,T4,T20
14196,"Meronk, Adrian",6900,20000,0,NA,NA,NA,NA,NA,NA
13367,"Merritt, Troy",6300,50000,10,-0.45,CUT,CUT,CUT,NA,T41
17365,"Mitchell, Keith",7500,11000,2,-1.47,NA,NA,NA,CUT,NA
7655,"Molinari, Francesco",6800,25000,12,-0.17,T55,T8,CUT,NA,CUT
25442,"Montgomery, Taylor",7600,10000,0,NA,NA,NA,NA,NA,NA
21944,"Moore, Taylor",7200,15000,4,1.15,T21,NA,NA,NA,NA
22085,"Morikawa, Collin",9300,2000,12,1.58,T2,T43,T26,NA,NA
18761,"Mullinax, Trey",6700,30000,0,NA,NA,NA,NA,NA,NA
21074,"Nakajima, Keita",6200,50000,0,NA,NA,NA,NA,NA,NA
16433,"NeSmith, Matthew",6400,30000,8,0.5,T55,T20,NA,NA,NA
10419,"Noren, Alex",7300,10000,16,0.64,T48,T12,T59,NA,T16
7899,"Piercy, Scott",6200,60000,12,0,T61,T64,T17,NA,NA
21554,"Poston, J.T.",7300,13000,14,0.5,CUT,T43,T30,T28,NA
10104,"Power, Seamus",7700,13000,6,-1.07,CUT,NA,NA,T64,NA
14704,"Putnam, Andrew",6900,20000,12,-0.7,T48,T32,CUT,CUT,NA
19195,"Rahm, Jon",11100,750,16,1.69,T21,T5,T17,T9,NA
18554,"Rai, Aaron",6600,35000,4,-0.35,T61,NA,NA,NA,NA
19840,"Ramey, Chad",6100,200000,0,NA,NA,NA,NA,NA,NA
7961,"Reavie, Chez",6400,40000,16,0.13,T10,CUT,T10,CUT,T73
24481,"Redman, Doc",6100,80000,6,-0.55,T61,CUT,NA,NA,NA
16283,"Rodgers, Patrick",7000,18000,18,0.96,CUT,T12,T30,T15,T26
6093,"Rose, Justin",8000,6500,4,-0.51,NA,NA,T56,NA,NA
16715,"Ryder, Sam",6700,25000,10,-0.27,T26,NA,CUT,T56,NA
19895,"Schauffele, Xander",9900,1600,20,1.67,T13,T15,T23,T15,T9
18417,"Scheffler, Scottie",10700,1100,14,0.88,T7,T20,T30,NA,CUT
19477,"Schenk, Adam",6400,40000,12,-0.43,CUT,NA,T47,CUT,T53
15016,"Schwab, Matthias",6100,100000,0,NA,NA,NA,NA,NA,NA
6430,"Scott, Adam",8000,5000,20,1.72,T4,T38,1,T7,T53
23482,"Sigg, Greyson",6600,35000,0,NA,NA,NA,NA,NA,NA
18474,"Smalley, Alex",6900,20000,4,-1.1,72,NA,NA,NA,NA
22985,"Smotherman, Austin",6000,100000,0,NA,NA,NA,NA,NA,NA
17536,"Spaun, J.J.",7000,20000,10,-2.32,CUT,NA,63,CUT,CUT
14636,"Spieth, Jordan",8600,3500,20,0.77,T26,T15,T59,T51,T9
12359,"Stallings, Scott",7100,15000,10,0.34,CUT,NA,CUT,CUT,T4
11019,"Steele, Brendan",7100,25000,12,-0.73,CUT,T43,NA,CUT,T49
17511,"Straka, Sepp",6800,25000,10,0.46,T15,T43,CUT,NA,NA
14852,"Streb, Robert",6000,150000,8,-1.5,CUT,CUT,NA,CUT,CUT
8480,"Streelman, Kevin",6200,50000,10,-0.32,NA,T52,NA,CUT,T41
22050,"Suh, Justin",6700,25000,0,NA,NA,NA,NA,NA,NA
13997,"Svensson, Adam",6500,30000,0,NA,NA,NA,NA,NA,NA
20519,"Tarren, Callum",6300,35000,0,NA,NA,NA,NA,NA,NA
19948,"Taylor, Ben",6400,40000,0,NA,NA,NA,NA,NA,NA
13126,"Taylor, Nick",7400,10000,14,0.67,NA,T20,CUT,T33,T41
23014,"Theegala, Sahith",7800,7500,4,0.15,T48,NA,NA,NA,NA
14139,"Thomas, Justin",10100,1400,16,1.48,6,CUT,CUT,2,T9
27364,"Thompson, Davis",6700,30000,0,NA,NA,NA,NA,NA,NA
12946,"Thompson, Michael",6300,60000,8,0.22,NA,CUT,CUT,T7,NA
12425,"Todd, Brendon",6800,25000,6,-0.65,NA,CUT,T56,NA,NA
13127,"Tway, Kevin",6200,100000,10,-0.34,T48,NA,CUT,CUT,CUT
13508,"Vegas, Jhonattan",6900,25000,10,-0.84,T55,NA,CUT,CUT,CUT
20706,"Wallace, Matt",6600,30000,2,-4.26,CUT,NA,NA,NA,NA
7955,"Watney, Nick",6000,250000,6,-0.47,T55,NA,CUT,NA,NA
12920,"Willett, Danny",6400,40000,6,0.45,NA,NA,CUT,T33,NA
12577,"Woodland, Gary",7000,18000,2,-1.94,NA,CUT,NA,NA,NA
5321,"Woods, Tiger",7300,11000,10,-0.66,NA,NA,68,T15,CUT
25213,"Wu, Brandon",6700,25000,0,NA,NA,NA,NA,NA,NA
26651,"Young, Cameron",8800,3000,4,3.65,T2,NA,NA,NA,NA
19428,"Zalatoris, Will",8700,3500,8,1.13,T26,T15,NA,NA,NA
