dg_id,player_name,dk_salary,draftkings,total_rounds,sg_mean,year2023,year2022,year2021,year2020,year2019
21235,"Albertson, Anders",6100,60000,6,1.39,NA,CUT,NA,NA,NA
14002,"Alexander, Tyson",6100,70000,4,-2.56,CUT,CUT,NA,NA,NA
8469,"Armour, Ryan",6100,70000,18,-0.16,CUT,T13,CUT,T46,CUT
6252,"Baddeley, Aaron",6500,20000,4,-0.01,NA,NA,NA,CUT,NA
16566,"Barjon, Paul",6100,70000,4,0.46,NA,NA,T39,NA,NA
14799,"Barnes, Erik",6000,100000,4,0.48,NA,T45,NA,NA,NA
17606,"Berger, Daniel",7300,10000,0,NA,NA,NA,NA,NA,NA
17639,"Blair, Zac",7100,12000,8,-1.32,CUT,CUT,NA,CUT,CUT
14698,"Bramlett, Joseph",7100,8000,14,-0.38,NA,T45,T58,T44,CUT
10423,"Brehm, Ryan",6100,40000,6,-1.19,CUT,CUT,NA,NA,CUT
29433,"Bridgeman, Jacob",7400,9000,0,NA,NA,NA,NA,NA,NA
21236,"Bryan, Wesley",6400,17000,10,-0.9,T62,NA,NA,T12,NA
25363,"Buckley, Hayden",6400,17000,14,0.75,CUT,T19,T4,NA,NA
32467,"Burnette, Beck",6100,100000,0,NA,NA,NA,NA,NA,NA
12909,"Campos, Rafael",6300,20000,4,-0.71,NA,NA,NA,NA,T61
14502,"Cauley, Bud",6600,12000,0,NA,NA,NA,NA,NA,NA
23542,"Champ, Cameron",7400,4500,12,2.59,T9,NA,NA,NA,T28
21756,"Cole, Eric",9200,3000,6,-0.02,T35,CUT,NA,NA,NA
27870,"Coody, Parker",6400,25000,0,NA,NA,NA,NA,NA,NA
28309,"Coody, Pierceson",7000,7500,0,NA,NA,NA,NA,NA,NA
27780,"Crowe, Trace",7000,10000,0,NA,NA,NA,NA,NA,NA
14509,"Dahmen, Joel",7200,11000,12,1.12,T13,T13,T51,NA,NA
19738,"Dougherty, Kevin",6400,20000,2,-0.29,NA,NA,NA,NA,NA
22002,"Dumont de Chassart, Adrien",6300,30000,0,NA,NA,NA,NA,NA,NA
18187,"Duncan, Tyler",6300,20000,14,0.16,T16,CUT,T14,NA,CUT
28270,"Dunlap, Nick",9700,2200,0,NA,NA,NA,NA,NA,NA
22833,"Echavarria, Nicolas",6600,15000,2,-2.92,NA,CUT,NA,NA,NA
14577,"English, Harris",8300,4500,10,0.75,NA,CUT,NA,NA,T6
25094,"Fishburn, Patrick",9400,3000,0,NA,NA,NA,NA,NA,NA
30027319,"Flynn, Charlie",6000,100000,0,NA,NA,NA,NA,NA,NA
12965,"Fowler, Rickie",7700,7500,0,NA,NA,NA,NA,NA,NA
11889,"Fox, Ryan",7600,5000,0,NA,NA,NA,NA,NA,NA
25771,"Furr, Wilson",6300,15000,4,-1.86,NA,CUT,NA,NA,NA
11451,"Garnett, Brice",6600,17000,14,-0.14,CUT,T54,T56,CUT,CUT
24550,"Ghim, Doug",7900,4500,16,-0.33,CUT,NA,T58,T23,CUT
7399,"Glover, Lucas",7600,8000,12,0.31,NA,NA,T58,CUT,CUT
26660,"Gordon, Will",6200,30000,12,-0.96,CUT,T30,NA,T53,CUT
27774,"Gotterup, Chris",7300,6500,0,NA,NA,NA,NA,NA,NA
17508,"Gribble, Cody",6300,50000,12,-0.39,T43,T30,CUT,NA,NA
24968,"Griffin, Ben",9500,3000,8,2.08,T2,T24,NA,NA,NA
